year,birth,not_oh_birth,oh_birth
1921,3055000,2911148,143852
1922,2882000,2752498,129502
1923,2910000,2774928,135072
1924,2979000,2840156,138844
1925,2909000,2784620,124380
1926,2839000,2706814,132186
1927,2802000,2678510,123490
1928,2674000,2546990,127010
1929,2582000,2444183,137817
1930,2618000,2493392,124608
1931,2506000,2391140,114860
1932,2440000,2337760,102240
1933,2307000,2206611,100389
1934,2396000,2292513,103487
1935,2377000,2273711,103289
1936,2355000,2249895,105105
1937,2413000,2301348,111652
1938,2496000,2389499,106501
1939,2466000,2360842,105158
1940,2559000,2447006,111994
1941,2703000,2585707,117293
1942,2989000,2850183,138817
1943,3104000,2966510,137490
1944,2939000,2802837,136163
1945,2858000,2717789,140211
1946,3411000,3139751,271249
1947,3817000,3615936,201064
1948,3637000,3447341,189659
1949,3649000,3455375,193625
1950,3632000,3446775,185225
1951,3820000,3622630,197370
1952,3909000,3704262,204738
1953,3959000,3747930,211070
1954,4071000,3844764,226236
1955,4097000,3865436,231564
1956,4210000,3973108,236892
1957,4300000,4067504,232496
1958,4246000,4004756,241244
1959,4244796,4005200,239596
1960,4257850,4021585,236265
1961,4268326,4030372,237954
1962,4167362,3942519,224843
1963,4098020,3879968,218052
1964,4027490,3806807,220683
1965,3760358,3564959,195399
1966,3606274,3415086,191188
1967,3520959,3335217,185742
1968,3501564,3315443,186121
1969,3600206,3410129,190077
1970,3731386,3530865,200521
1971,3555970,3365273,190697
1972,3258411,3088703,169708
1973,3136965,2975793,161172
1974,3159958,2998661,161297
1975,3144198,2984894,159304
1976,3167788,3011900,155888
1977,3326632,3164100,162532
1978,3333279,3171443,161836
1979,3494398,3326176,168222
1980,3612258,3441651,170607
1981,3629238,3461027,168211
1982,3680537,3514777,165760
1983,3638933,3479079,159854
1984,3669141,3508296,160845
1985,3760561,3598495,162066
1986,3756547,3596834,159713
1987,3809394,3648564,160830
1988,3909510,3746535,162975
1989,4040958,3874726,166232
1990,4158212,3989479,168733
1991,4110907,3942866,168041
1992,4065014,3900802,164212
1993,4000240,3839634,160606
1994,3952767,3794852,157915
1995,3899589,3743941,155648
1996,3891494,3738557,152937
1997,3880894,3727856,153038
1998,3941553,3794745,146808
1999,3959417,3807819,151598
2000,4058814,3903093,155721
2001,4025933,3874523,151410
